DIVISION_NAME,DISTRICT_NAME,THANA_NAME,EIIN,INSTITUTE_NAME,VILL_ROAD,POST_OFFICE,MANAGEMENT,ISNTITUTION_TYPE,MOBILE
Barisal,Barguna,Betagi,137714,OHIDUR RAHMAN SHAHIN WOMEN'S COLLEGE,KAZIRABAD,KAZIRABAD,Non-Govt,College,01718002205
Barisal,Barguna,Patharghata,100345,GOVT. HAZI JALAL UDDIN MOHILA DEGREE COLLEGE,HAZI JALAL UDDIN SHOROK,PATHARGHATA,Govt.,College,01714523450
Barisal,Barguna,Patharghata,100344,SYED FAZLUL HOQUE DEGREE COLLEGE,LEMUA,LEMUA,Non-Govt,College,01712965526
Barisal,Barguna,Patharghata,100346,PATHRGHATA COLLEGE,H-137 | COLLEGE ROAD | PATHARGATA POUROSAVA,PATHARGHATA,Non-Govt,College,01716856383
Barisal,Barguna,Taltali,100110,TALTALI DEGREE COLLEGE,THANG PARA,TALTALI,Govt.,College,01309100110
Barisal,Barisal,Agailjhara,100382,GOVT. SHAHEED ABDUR ROB SERNIABAT DEGREE COLLEGE,AGAILJHARA,AGAILJHARA,Govt.,College,01712808987
Barisal,Barisal,Agailjhara,136509,BASHAIL SHAHID SUKANTO BABU COLLEGE,BASHAIL,BASHAIL,Non-Govt,College,01309136509
Barisal,Barisal,Babuganj,100442,GOVT. ABUL KALAM DEGREE COLLEGE RAKUDIA,RAKUDIA,RAKUDIA,Govt.,College,01711342647
Barisal,Barisal,Babuganj,100440,AGARPUR COLLEGE,AGARPUR,AGARPUR,Non-Govt,College,01712114360
Barisal,Barisal,Babuganj,100441,BABUGANJ DEGREE COLLEGE,BABUGANJ,BABUGANJ,Non-Govt,College,01712691722
Barisal,Barisal,Babuganj,136897,BIRSHRESTHA CAPTAIN MOHIUDDIN JAHANGIR COLLEGE,RAHIMGANJ,BRAHMANDIA,Non-Govt,College,01745387542
Barisal,Barisal,Bakerganj,100591,GOVT.BAKERGONJ COLLEGE,RUNSI,SHAHEBGONJ,Govt.,College,01794834383
Barisal,Barisal,Bakerganj,100588,ATAHAR UDDIN HOWLADER COLLEGE,BALAIKATHI,BADALPARA,Non-Govt,College,01309100588
Barisal,Barisal,Bakerganj,100595,M. A . MALEK DEGREE COLLEGE,CHHOTO RAGHUNATHPUR,FORKANIA,Non-Govt,College,01726653555
Barisal,Barisal,Bakerganj,100594,HELAL UDDIN AHMED COLLEGE,KAKARDHA,KAKARDHA,Non-Govt,College,01309100594
Barisal,Barisal,Bakerganj,100590,KALASKATI DEGREE COLLAGE,KALASKATI,KALASKATI,Non-Govt,College,01309100590
Barisal,Barisal,Bakerganj,100592,AL-HAJ HAZRAT ALI COLLEGE,KOSHABAR,KAMARKHALI,Non-Govt,College,01727725260
Barisal,Barisal,Bakerganj,100598,KABAI UNION ISLAMIA DEGREE PRO COLLEGE,LUXMIPASHA,LUXMIPASHA,Non-Govt,College,01712503351
Barisal,Barisal,Bakerganj,100589,SYED AFSAR ALI DEGREE COLLEGE,MAHESHPUR,MOHESHPUR,Non-Govt,College,01309100589
Barisal,Barisal,Bakerganj,100593,C. N. B. DEGREE COLLEGE,14 NO NEYAMOTY,NIAMATI,Non-Govt,College,01712701463
Barisal,Barisal,Bakerganj,100596,BEGUM SAMSUDDIN TALUKDER COLLEGE,CHARADY,RANIRHAT,Non-Govt,College,01712544420
Barisal,Barisal,Bakerganj,100597,BAKERGANJ ISLAMIA MOHILA COLLEGE,AULIAPUR,RUNSHI,Non-Govt,College,01712765330
Barisal,Barisal,Bakerganj,100587,RATNA AMIN MOHILA COLLEGE,BHARPASA | BAKERGANJ,SHAHEBGANJ,Non-Govt,College,01714785132
Barisal,Barisal,Bakerganj,138010,CHANDRADIP COLLEGE,DUDHAL,DUDHAL MADRASAH,Non-Govt,College,01720352736
Barisal,Barisal,Bakerganj,138548,JAHANGIR HOSSAIN MOLLA COLLEGE,SHUNDARKATHI,GOMA DUDHAL,Non-Govt,College,01309138548
Barisal,Barisal,Bakerganj,138296,KABAI UNION IDEAL MAHILA COLLEGE,HANUA,HANUA,Non-Govt,College,01740877397
Barisal,Barisal,Bakerganj,100599,ABUL HOSSAIN KHAN COLLEGE,KRISHNAKATHI,KRISHNAKATHI,Non-Govt,College,01726120410
Barisal,Barisal,Banari Para,100658,GOVT FAZLUL HUQ COLLEGE,CHAKHAR,CHAKHAR,Govt.,College,01309100658
Barisal,Barisal,Banari Para,100659,SYED BAZLUL HAQUE COLLEGE,BAISARI,BAISARI,Non-Govt,College,01755589925
Barisal,Barisal,Banari Para,100657,BANARIPARA DEGREE COLLEGE,BANARIPARA,BANARIPARA,Non-Govt,College,01759646814
Barisal,Barisal,Banari Para,100656,BISHARKANDI SHER E BANGLA DEGREE COLLEGE,MORICH BUNIA,BISHARKANDI,Non-Govt,College,01712221184
Barisal,Barisal,Banari Para,100660,SAYEDKATI UNION ISLAMIA COLLEGE,MASJIDBARI,MASJIDBARI,Non-Govt,College,01716416498
Barisal,Barisal,Gaurnadi,100703,GOVT.GOURNADI COLLEGE,GOURNADI,GOURNADI,Govt.,College,01735665680
Barisal,Barisal,Gaurnadi,100705,BARTHI DEGREE COLLEGE,BARTHI,BARTHI,Non-Govt,College,01309100705
Barisal,Barisal,Gaurnadi,134217,BATAJORE RABAYA FAZLA KARIM WOMEN'S COLLEGE,HARHAR | 6NO. BATAJORE,BATAJORE,Non-Govt,College,01309134217
Barisal,Barisal,Gaurnadi,100706,MAHILARA DEGREE COLLEGE,MAHILARA,MAHILARA,Non-Govt,College,01712902046
Barisal,Barisal,Gaurnadi,100704,NIZAMUDDIN DEGREE COLLEGE,HOSNABAD,NIZAMUDDIN COLLEGE,Non-Govt,College,01716879033
Barisal,Barisal,Hizla,100736,GOVT. HIZLA DEGREE COLLEGE,KHUNA GOBINDOPUR,BARJALIA,Govt.,College,01309100736
Barisal,Barisal,Hizla,136325,ABDUL JABBAR MEHMAN COLLEGE,PURBAKANDI,HRINATHPUR,Non-Govt,College,01712120686
Barisal,Barisal,Barisal Sadar (Kotwali),132618,ALEKANDA GOVT. COLLEGE | BARISAL,UTTAR ALEKANDA,BARISAL,Govt.,College,01309132618
Barisal,Barisal,Barisal Sadar (Kotwali),100877,BARISAL GOVT. WOMENS COLLEGE,AGORPUR ROAD,BARISAL,Govt.,College,01733-230757
Barisal,Barisal,Barisal Sadar (Kotwali),100867,GOVT. BARISAL COLLEGE,KALIBARI ROAD,BARISAL,Govt.,College,01309100867
Barisal,Barisal,Barisal Sadar (Kotwali),100876,GOVT. SYED HATEM ALI COLLEGE,NOBAGRAM ROAD,BARISHAL,Govt.,College,01716407335
Barisal,Barisal,Barisal Sadar (Kotwali),100875,GOVT.B.M COLLEGE,COLLEGE CAMPUS,COLLEGE CAMPUS,Govt.,College,01760632203
Barisal,Barisal,Barisal Sadar (Kotwali),100868,BARISAL ISLAMIA COLLEGE,AMANATGONNG | BARISHAL.,BARISAL,Non-Govt,College,01716715362
Barisal,Barisal,Barisal Sadar (Kotwali),100874,AMRITLAL DEYCOLLEGE,AMRITA LAL DEY SARAK,BARISAL,Non-Govt,College,01718121784
Barisal,Barisal,Barisal Sadar (Kotwali),100873,BEGUM TOFAZZAL HOSSAIN MANIK MOHILA COLLEGE,C&B ROAD,BARISAL,Non-Govt,College,01309100873
Barisal,Barisal,Barisal Sadar (Kotwali),100871,A.KARIM IDEAL COLLEGE,CHARBADNA-721 |,BARISAL,Non-Govt,College,01711319149
Barisal,Barisal,Barisal Sadar (Kotwali),100869,ABDUR ROB SERNIABAT COLLEGE,PURAN PARA 933,BARISAL,Non-Govt,College,01309100869
Barisal,Barisal,Barisal Sadar (Kotwali),100870,BARISAL CITY COLLEGE(DAY-NIGHT) | BARISAL,SADAR ROAD,BARISAL,Non-Govt,College,01747610520
Barisal,Barisal,Barisal Sadar (Kotwali),100866,RUPATALI JAGUA COLLEGE,RUPATALI,JAGUYAHAT,Non-Govt,College,01712795059
Barisal,Barisal,Barisal Sadar (Kotwali),100872,MAHANAGAR COLLEGE,HORIPASHA,RUYA,Non-Govt,College,01712000371
Barisal,Barisal,Barisal Sadar (Kotwali),100878,SAHID ZIAUR RAHMAN DEGREE COLLEGE,BISARAD,SAHABERHAT,Non-Govt,College,01716040222
Barisal,Barisal,Barisal Sadar (Kotwali),135405,ROYAL CENTRAL COLLEGE,C & B ROAD,BARISAL,Non-Govt,College,01926111333
Barisal,Barisal,Barisal Sadar (Kotwali),137625,BARISAL METROPOLITAN COLLEGE,C & B ROAD | BARISAL-8200,BARISAL SADAR,Non-Govt,College,01983888101
Barisal,Barisal,Barisal Sadar (Kotwali),135487,DR. ARIFUR RAHMAN COMMERCE COLLEGE,NABOGRAM ROAD,NABOGRAM,Non-Govt,College,01718215776
Barisal,Barisal,Barisal Sadar (Kotwali),135257,ANSAR UDDIN MALLICK COLLEGE,2399-000 TIAKHALI ROAD SAGORDI,SAGARDI,Non-Govt,College,01725615822
Barisal,Barisal,Mehendiganj,100949,GOVT. PATARHAT ROSIC CHANDRA COLLEGE,¿¿¿¿,MEHENDIGANJ,Govt.,College,01719169517
Barisal,Barisal,Mehendiganj,100952,BHASANCHAR BIDDANANDAPUR COLLEGE,VASANCHAR,BHASANCHAR,Non-Govt,College,01309100952
Barisal,Barisal,Mehendiganj,100948,MEHENDIGONJ MOHILA MOHABIDHALAY,CHAR HOGLA,MEHENDIGANJ,Non-Govt,College,01720559834
Barisal,Barisal,Mehendiganj,100950,EKOTA DEGREE COLLEGE,CHAR SONTOSPUR,SHONTOSPUR,Non-Govt,College,01733255295
Barisal,Barisal,Mehendiganj,100951,ULANIA MUZZAFFAR KHAN DEGREE COLLEGE,ASHA,ULANIA,Non-Govt,College,01712617459
Barisal,Barisal,Mehendiganj,137795,DESHRATNA SHEKH HASINA COLLEGE,GAGARIA,SANGSABAD,Non-Govt,College,01955343450
Barisal,Barisal,Muladi,101013,GOVT. MULADI COLLEGE,TERACHAR,MULADI,Govt.,College,01716194335
Barisal,Barisal,Muladi,101017,ARIF MAHMUD DEGREE COLLEGE,CHARCOMISONAR,CHARCOMISONAR,Non-Govt,College,01309101017
Barisal,Barisal,Muladi,101014,CHAR KALEKHAN ADARSHA COLLEGE,CHAR KALEKHAN,CHARKALEKHAN,Non-Govt,College,01740852650
Barisal,Barisal,Muladi,101016,PURBO HOSNABAD MAHABIDDALYA,GACHHUA,GACHHUA,Non-Govt,College,01309101016
Barisal,Barisal,Muladi,101015,NAZIRPUR UNITED (DEGREE) COLLEGE,NAZIRPUR,N. P. SCHOOL,Non-Govt,College,01716575542
Barisal,Barisal,Muladi,101018,HAZI SYED BADRUL HOSSAIN COLLEGE,SAFIPUR,SAFIPUR,Non-Govt,College,01714217286
Barisal,Barisal,Muladi,136530,MULADI MOHILA COLLEGE,4NO. WORD,MULADI,Non-Govt,College,01309136530
Barisal,Barisal,Wazirpur,101101,GOVT. SHER E BANGLA DEGREE COLLEGE,PURBO MUNDO PASHA,SHIKARPUR,Govt.,College,01716501906
Barisal,Barisal,Wazirpur,101102,HAJEE TAHERUDDIN ISLAMIA DEGREE COLLEGE,BHABANIPUR,BHABANIPUR MOW. BAZAR,Non-Govt,College,01721244030
Barisal,Barisal,Wazirpur,101104,BARAKHOTA UNION DEGREE COLLEGE,LASKARPUR,CHOWDHURIRHAT,Non-Govt,College,01731399689
Barisal,Barisal,Wazirpur,101098,DHAMURA DEGREE COLLEGE,DHAMURA,DHAMURA,Non-Govt,College,01724953983
Barisal,Barisal,Wazirpur,101096,GUTIA IDEAL DEGREE COLLEGE,GUTHIA,GUTHIA,Non-Govt,College,01711005889
Barisal,Barisal,Wazirpur,101103,JUGIR KANDA MOHILA MAHABIDDYALAYE,JUGIRKANDA,JOGIRKANDA,Non-Govt,College,01724955339
Barisal,Barisal,Wazirpur,101097,SYED AZIZUL HAQUE COLLEGE HABIBPUR,KESHABKATHI,KESHABKATHI,Non-Govt,College,01712565354
Barisal,Barisal,Wazirpur,101095,SHAHEED SHARINA DEGREE COLLEGE,MUNSIR TALUK,MUNSIR TALLUK,Non-Govt,College,01711042133
Barisal,Barisal,Wazirpur,101099,UZIRPUR AL- HAZ B.N. KHAN COLLEGE,UZIRPUR,UZIRPUR,Non-Govt,College,01717251509
Barisal,Barisal,Wazirpur,101100,UJIRPUR MOHILA COLLEGE,UJIRPUR,WZIRPUR,Non-Govt,College,01718510569
Barisal,Barisal,Wazirpur,101106,JALLA UNION IDEAL COLLEGE,PIRARPAR,PIRARPAR,Non-Govt,College,01717503657
Barisal,Barisal,Wazirpur,101105,SATLA IDEL COLLEGE,SATLA,SATLA,Non-Govt,College,01711366870
Barisal,Bhola,Bhola Sadar,101205,BHOLA GOVERNMENT COLLEGE,CHAR JANGLA,BHOLA,Govt.,College,01789855244
Barisal,Bhola,Bhola Sadar,101207,GOVT.FAZILATUNNESA WOMENS COLLEGE,GAJIPUR ROAD,BHOLA,Govt.,College,01718155168
Barisal,Bhola,Bhola Sadar,132036,BIRSHRESTHA MOSTAFA KAMAL MAHABIDDALAY,RUHITA,ALINAGAR,Non-Govt,College,01679796447
Barisal,Bhola,Bhola Sadar,101209,ALTAJAR RAHMAN DEGREE COLLEGE,ALTAJAR RAHMAN ROAD,BHOLA,Non-Govt,College,01711175754
Barisal,Bhola,Bhola Sadar,101206,OBAIDUL HAQUE COLLEGE,CHARGONJLA,BHOLA,Non-Govt,College,01716810995
Barisal,Bhola,Bhola Sadar,101210,BANKER HAT CO-OPERATIVE COLLEGE,CHAR RAMESH,CHAR BHEDURIA,Non-Govt,College,01720508652
Barisal,Bhola,Bhola Sadar,101204,BANGLA BAZAR FATEMA KHANAM COLLEGE,DAKSHIN DIGHALI,DAKSHIN DIGHALDI,Non-Govt,College,01712488839
Barisal,Bhola,Bhola Sadar,132025,REBA RAHMAN MOHABIDDALAY,LAMCHIPATA,GHUINGERHAT,Non-Govt,College,01711123471
Barisal,Bhola,Bhola Sadar,101203,ELISHA ISLAMIA MODEL COLLEGE,UTTAR ELISHA,ILISHA HAT/KALUPUR,Non-Govt,College,01711143967
Barisal,Bhola,Bhola Sadar,101208,NAZIUR RAHMAN COLLEGE,KACHIA,PARANGONJ,Non-Govt,College,01712974777
Barisal,Bhola,Bhola Sadar,101211,MANIK MIA IDEAL COLLEGE,PORISAD ROAD,CHANDRA PROCHAD,Non-Govt,College,01740997425
Barisal,Bhola,Bhola Sadar,133895,BHASHA SHAHEED SMRITY COLLEGE,PASCHIM CHARPATA,MEDUA,Non-Govt,College,01752290546
Barisal,Bhola,Burhanuddin,101294,GOVT. ABDUL JABBAR COLLEGE,COLLEGE ROAD,BURHANUDDIN,Govt.,College,01757432464
Barisal,Bhola,Burhanuddin,101292,BORHANUDDIN MOHILA DEGREE COLLEGE,PORO NO-2,BORHANUDDIN,Non-Govt,College,01718038617
Barisal,Bhola,Burhanuddin,101293,KACHIA TOBGI EASIN PARA E.P MOHABIDHALAY,CHAK DHOSH,KUNJERHAT,Non-Govt,College,01718722007
Barisal,Bhola,Burhanuddin,101295,HAFIZ IBRAHIM COLLEGE,MULAI PATTAN,MUNSHIR HAT,Non-Govt,College,01826036813
Barisal,Bhola,Char Fasson,101439,GOVT. CHARFASSON COLLEGE,763/3,CHAR FASSON,Govt.,College,01716215111
Barisal,Bhola,Char Fasson,134352,PRINCIPAL NAZRUL ISLAM COLLEGE,HAZARI GANJ,CHAIRMAN BAZAR,Non-Govt,College,01718365297
Barisal,Bhola,Char Fasson,101438,FATEMA MATIN MOHILA COLLEGE,MAINUDDIN JAHANGIR ROAD CHARFASSION POURASAVA.,CHARFASSION,Non-Govt,College,01716236632
Barisal,Bhola,Char Fasson,101440,DULAR HAT ADARSHA DEGREE COLLEGE,CHAR TOFAGOL,DULARHAT,Non-Govt,College,01716442823
Barisal,Bhola,Char Fasson,136974,NALIMA JAKOB MOHILA COLLEGE,CHAR TOFAZZAL,DULARHAT,Non-Govt,College,01714024466
Barisal,Bhola,Char Fasson,101434,ZANATA BAZAR SHAHID ZIAUR RAHMAN COLLEGE,OSMAN GONJ,FAZALGONJ,Non-Govt,College,01711178764
Barisal,Bhola,Char Fasson,101437,OSMANGONJ UNITED COLLEGE,HASANGONJ,HASANGONJ,Non-Govt,College,01716332457
Barisal,Bhola,Char Fasson,101435,RASULPUR DEGREE COLLEGE,SOSHIVUSON,SHASHIBHUSAN,Non-Govt,College,01711276947
Barisal,Bhola,Char Fasson,134388,BEGUM RAHIMA ISLAM MOHILA COLLEGE,SOSHIBHUSAN,SOSHIBHUSAN,Non-Govt,College,01711198181
Barisal,Bhola,Char Fasson,101436,CHARMANIKA JALAL AHAMED COLLEGE,CHORKCHHOPIA,DASKHIN ICHA,Non-Govt,College,01711040127
Barisal,Bhola,Char Fasson,139117,DOKKHIN AICHA PRINCIPAL NAZRUL ISLAM COLLEGE,CHAR AICHA | 8NO WORD CHARFASSION BHOLA.,SOUTH AICHA,Non-Govt,College,01733255490
Barisal,Bhola,Daulat Khan,101486,DAULATKHAN ABU ABDULLAH GOVT. DEGREE COLLEGE,BARA DHALI,DAULTKHAN,Govt.,College,01309101486
Barisal,Bhola,Daulat Khan,135198,DAULAT KHAN MOHILA COLLEGE,DAULATKHAN PORASOVA,DAULATKHAN,Non-Govt,College,01712209674
Barisal,Bhola,Daulat Khan,137694,ALI ASHRAF MOHABIDDALAY,KALAKOPA,DIDARULLA,Non-Govt,College,01828178950
Barisal,Bhola,Daulat Khan,101485,HALIMA KHATUN MOHILA MOHABIDDHALAY,MADDYA JOY NAGAR,JOY NAGAR,Non-Govt,College,01719603992
Barisal,Bhola,Lalmohan,101572,GOVT SHAHBAJ PUR COLLEGE,COLLEGE ROAD,LALMOHAN,Govt.,College,01309101572
Barisal,Bhola,Lalmohan,101573,DR AZAHAR UDDIN DRGREE COLLEGE,POSHCHIM CHOR UMED,GAZARIA BAZAR,Non-Govt,College,01309101573
Barisal,Bhola,Lalmohan,101570,KARIMUNNESSA HAFIZ MOHILA COLLEGE,0356/T N T ROAD |,LALMOHAN,Non-Govt,College,01716128148
Barisal,Bhola,Lalmohan,132034,DHALI GOURA NAGAR COLLEGE,KULACHARA,SHERAZIA,Non-Govt,College,01979798100
Barisal,Bhola,Lalmohan,134880,NURUNNOBI CHAWDHURY MOHABIDDALOY,DEBIRCHAR,DEBIRCHAR,Non-Govt,College,01917263645
Barisal,Bhola,Lalmohan,137091,DR. AZAHER UDDIN MEMORIAL COLLEGE,MOHESH KHALI,GOZARIA,Non-Govt,College,01711034057
Barisal,Bhola,Lalmohan,135393,HAZI MOHAMMAD NURUL ISLAM CHOWDHURY COLLEGE,CHARFASSION ROAD,LALMOHAN,Non-Govt,College,01737013262
Barisal,Bhola,Manpura,101591,GOVT. MANPURA DEGREE COLLEGE,CHAR FOIZUDDIN,HAZIRHAT,Govt.,College,01726027897
Barisal,Bhola,Manpura,101592,MONOARA BEGUM MOHILA COLLEGE,CHAR JATIN,HAJIR HAT,Non-Govt,College,01309101592
Barisal,Bhola,Manpura,137996,SHAKUCHIA ABDULLAH AL ISLAM JAKOB COLLEGE,CHAR GOALIA,MASTARHAT,Non-Govt,College,01762083378
Barisal,Bhola,Tazumuddin,101621,GOVT. TAZUMUDDIN DEGREE COLLEGE,SHASHIGANJ,HAT SHASHIGONJ,Govt.,College,01724183125
Barisal,Bhola,Tazumuddin,137634,SHAMVUPUR SHAHE ALAM MODEL COLLEGE,GOLAKPUR,KHASERHAT,Non-Govt,College,01710773919
Barisal,Bhola,Tazumuddin,137997,TAZUMUDDIN HOSNEARA CHOWDHURY MOHILA COLLEGE,GODOWN ROAD,HAT SHASHIGANJ,Non-Govt,College,01712067063
Barisal,Jhalokati,Jhalokati Sadar,101708,JHALAKATHI GOVT WOMEN'S COLLEGE,MOHILA COLLEGE ROAD,JHALAKATI,Govt.,College,01795216417
Barisal,Jhalokati,Jhalokati Sadar,101709,JHALAKATHI GOVT COLLEGE,PASCHIM CHANDKATI,JHALKATHI,Govt.,College,01716922490
Barisal,Jhalokati,Jhalokati Sadar,136555,AKLIMA MOAZZEM HOSSAIN COLLEGE,BASANDA,BASANDA,Non-Govt,College,01623965279
Barisal,Jhalokati,Jhalokati Sadar,101710,SHER-E-BANGLA FAZLUL HAQUE COLLEGE BINOYKATI,BINOYKATI,BINOYKATI,Non-Govt,College,01777520386
Barisal,Jhalokati,Jhalokati Sadar,101707,HEMAYET UDDIN DEGREE COLLEGE,GUATAN,GUATAN,Non-Govt,College,01704434044
Barisal,Jhalokati,Jhalokati Sadar,101712,SHAH MAHMUDIA COLLEGE,RAMCHANDRAPUR,RAMCHANDRAPUR,Non-Govt,College,01309101712
Barisal,Jhalokati,Kanthalia,101783,GOVT. TOFAZZOL HOSSIAN ( MANIK MIA) DGREE COLLEGE,KANTHALIA,KANTHALIA,Govt.,College,01712192942
Barisal,Jhalokati,Kanthalia,101784,SHAHID RAJA DEGREE COLLAGE,AMUA,AMUA,Non-Govt,College,01720085173
Barisal,Jhalokati,Kanthalia,101785,MANOSWITA MAHILA MOHA BIDYALAY,DOKHIN TALGACHEYA,SHOULAJALIA,Non-Govt,College,01711059264
Barisal,Jhalokati,Kanthalia,136561,DR. M. SEKENDER HAYAT KHAN COLLEGE,PATIKHALGHATA,PATIKHALGHATA,Non-Govt,College,01309136561
Barisal,Jhalokati,Nalchity,101867,NALCHITY GOVT. DEGREE COLLEGE,COLLEGE ROAD | NALCHITY,NALCHITY,Govt.,College,01711383248
Barisal,Jhalokati,Nalchity,101869,DAPDAPIA UNION DEGREE COLLEGE,VHARATKATI,JURKHATI,Non-Govt,College,01712190323
Barisal,Jhalokati,Nalchity,101868,Z.A BHUTTO DEGREE COLLEGE,KATAKHALI,KATAKHALI,Non-Govt,College,01717967648
Barisal,Jhalokati,Nalchity,133822,JOYKALASH TICHNICAL AND B.M. COLLEGE. (GENERAL),JOYKALASH,CHUDDABURIA,Non-Govt,College,01745565672
Barisal,Jhalokati,Nalchity,137014,DAPDAPIA UNION MODEL MOHILA COLLEGE,JURKATHI,JURAKATHI,Non-Govt,College,01724038743
Barisal,Jhalokati,Nalchity,135256,MOWLANA GOLAM MOSTAFA KHAN MOHILA COLLEGE,MALIPUR,NALCHITY,Non-Govt,College,01712939005
Barisal,Jhalokati,Rajapur,101973,GOVT. RAJAPUR DEGREE COLLEGE,RAJAPUR,RAJAPUR,Govt.,College,01712168465
Barisal,Jhalokati,Rajapur,101975,BARAIY DEGREE COLLEGE,BARAIYA,PALOT,Non-Govt,College,01712456061
Barisal,Jhalokati,Rajapur,101972,ALHAJ LALMAN HAMID WOMEN COLLEGE,BAGRI,RAJAPUR,Non-Govt,College,01718087848
Barisal,Jhalokati,Rajapur,101974,ABDUL MALEK COLLEGE,UTTAMPUR,UTTAMPUR,Non-Govt,College,01309101974
Barisal,Patuakhali,Bauphal,102107,GOVT. BAUPHAL COLLEGE,BAUPHAL,BAUPHAL,Govt.,College,01712618583
Barisal,Patuakhali,Bauphal,102110,DR. EAKUB SHARIF DEDREE COLLEGE,BAGA,BAGA BANDAR,Non-Govt,College,01716437143
Barisal,Patuakhali,Bauphal,102108,ENGRIEER FARUK TALUKDER MOHLIA COLLEGE,NAZIRPUR,BAUPHAL,Non-Govt,College,01714906256
Barisal,Patuakhali,Bauphal,102113,KACHIPARA MD.ABDUL RASHID MIAH COLLEGE,KACHIPARA,KACHILPARA,Non-Govt,College,01712107316
Barisal,Patuakhali,Bauphal,102105,IDRIS MOLLA DEGREE COLLEGE,KALAIYA,KALAIYA,Non-Govt,College,01726827296
Barisal,Patuakhali,Bauphal,102109,KALISHURI DEGREE COLLEGE,KALISURI,KALISURI,Non-Govt,College,01712022286
Barisal,Patuakhali,Bauphal,102106,KESHABPUR MAHAVIDYALAYA,KESHABPUR,KESHABPUR COLLEGE,Non-Govt,College,01715714279
Barisal,Patuakhali,Bauphal,102112,ABDUR RASHID KHAN COLLEGE,NOWMALA,NAGURER HAT,Non-Govt,College,01779014060
Barisal,Patuakhali,Bauphal,102111,NURAINPUR COLLAGE,NARAYANPUR,NURAINPUR,Non-Govt,College,01712447710
Barisal,Patuakhali,Dashmina,102164,ABDUR RASHID TALUKDAR GOVT. DEGREE COLLEGE,DASHMINA,DASHMINA,Govt.,College,01721048338
Barisal,Patuakhali,Dashmina,102165,ALI PURA COLLEGE,PURBA ALIPUR,ALIPUR HAT,Non-Govt,College,01716103139
Barisal,Patuakhali,Dashmina,134358,DR. DOLI AKBAR WOMENS COLLEGE,DASHMINA,DASHMINA,Non-Govt,College,01714797337
Barisal,Patuakhali,Dumki Upazila,102216,JANATA COLLEGE,DUMKI,DUMKI,Govt.,College,01309102216
